experiment_id,measurement_type,x,value
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,1.0,0.9875957081118184
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,249.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,499.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,749.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,999.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,1249.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,1499.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,1749.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,1999.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,2249.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,2499.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,2749.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,2999.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,3249.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,3499.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,3749.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,3999.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,4249.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,4499.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,4749.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,4999.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,5249.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,5499.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,5749.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,5999.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,6249.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,6499.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,6749.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,6999.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,7249.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,7499.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,7749.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,7999.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,8249.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,8499.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,8749.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,8999.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,9249.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,9499.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,9749.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,SPREAD,9999.0,0.9998
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,1.0,0.0851434135259806
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,249.0,0.181631324878853
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,499.0,0.2068025615527681
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,749.0,0.2188852619918232
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,999.0,0.225493101812347
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,1249.0,0.230628233679311
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,1499.0,0.2332030586654708
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,1749.0,0.2350793476105676
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,1999.0,0.2362807474730082
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,2249.0,0.2380568190520592
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,2499.0,0.2387189328557643
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,2749.0,0.2391791456531439
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,2999.0,0.2399746985798706
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,3249.0,0.2402044720412582
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,3499.0,0.2409061814693092
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,3749.0,0.2410056512846576
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,3999.0,0.2415199820193686
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,4249.0,0.2419888380869696
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,4499.0,0.2421223214670193
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,4749.0,0.2421827893463063
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,4999.0,0.2426150441268112
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,5249.0,0.2429117895562422
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,5499.0,0.2435325384159979
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,5749.0,0.2436803500154845
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,5999.0,0.244013721377517
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,6249.0,0.2443385304353436
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,6499.0,0.2445793672675348
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,6749.0,0.2445793672675348
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,6999.0,0.2447292757378272
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,7249.0,0.2448082541539622
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,7499.0,0.2447822411774542
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,7749.0,0.2449124692369597
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,7999.0,0.2452258690670388
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,8249.0,0.2451836474342439
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,8499.0,0.2452807497381672
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,8749.0,0.2452807497381672
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,8999.0,0.2452807497381672
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,9249.0,0.2452807497381672
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,9499.0,0.2453225417031651
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,9749.0,0.2453225417031651
f3b6e2c9-671e-4834-a67f-ee480322e584,DISPERSION,9999.0,0.2456305316507454
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,1.0,1.0
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,249.0,0.9825
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,499.0,0.8574999999999999
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,749.0,0.7849999999999999
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,999.0,0.7125
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,1249.0,0.6849999999999999
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,1499.0,0.6525000000000001
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,1749.0,0.62
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,1999.0,0.6075
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,2249.0,0.5775
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,2499.0,0.57
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,2749.0,0.5575
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,2999.0,0.5325
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,3249.0,0.5275000000000001
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,3499.0,0.505
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,3749.0,0.5075
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,3999.0,0.5
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,4249.0,0.4875
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,4499.0,0.4875
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,4749.0,0.485
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,4999.0,0.4725
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,5249.0,0.4599999999999999
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,5499.0,0.4375
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,5749.0,0.43
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,5999.0,0.42
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,6249.0,0.4050000000000001
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,6499.0,0.395
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,6749.0,0.395
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,6999.0,0.39
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,7249.0,0.385
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,7499.0,0.3875
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,7749.0,0.385
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,7999.0,0.375
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,8249.0,0.3775
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,8499.0,0.3724999999999999
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,8749.0,0.3724999999999999
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,8999.0,0.3724999999999999
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,9249.0,0.3724999999999999
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,9499.0,0.3724999999999999
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,9749.0,0.3724999999999999
f3b6e2c9-671e-4834-a67f-ee480322e584,COVERED_BINS,9999.0,0.3575
f3b6e2c9-671e-4834-a67f-ee480322e584,BINS_VARIANCE,1.0,0.0265482020534174
f3b6e2c9-671e-4834-a67f-ee480322e584,BINS_VARIANCE,249.0,0.0185373532330655
